"priority","origin","customer_type__c","subject","isdeleted","systemmodstamp","db_case_duration_hours__c","external_id__c","createddate","isclosed","casenumber","sfid","id","_hc_lastop","_hc_err","reason","valid__c","type"
"Critical","Phone",NULL,"Setup Instructions are missing",False,"2017-02-26 19:04:34","6","Case.059","2017-02-16 16:00:25",True,"00001189","50046000001R8iJAAS",44,NULL,NULL,"Problem Resolved",False,"Product Support"
"Low","Email",NULL,"How do I become a partner?",False,"2017-02-26 19:04:34","8","Case.002","2017-02-16 16:00:25",True,"00001191","50046000001R8hcAAC",45,NULL,NULL,NULL,False,"General"
"Medium","Email",NULL,"Where can I purchase your products?",False,"2017-02-26 19:04:34","8","Case.031","2017-02-16 16:00:25",True,"00001604","50046000001R8hWAAS",46,NULL,NULL,"Problem Resolved",False,"Account Support"
"Medium","Phone",NULL,"What's included in your service contract?",False,"2017-02-26 19:04:34",NULL,"Case.032","2017-02-16 16:00:25",False,"00001605","50046000001R8hXAAS",47,NULL,NULL,"Problem Resolved",False,"General"
"High","Mobile Device",NULL,"Please send shipping confirmation.",False,"2017-02-26 19:04:34",NULL,"Case.030","2017-02-16 16:00:25",False,"00001606","50046000001R8hiAAC",48,NULL,NULL,"Problem Resolved",False,"Account Support"
"Medium","Facebook",NULL,"Facebook Message from: Larry Baxter",False,"2017-02-26 19:04:34",NULL,"Case.028","2017-02-16 16:00:25",False,"00001608","50046000001R8hkAAC",49,NULL,NULL,"Problem Resolved",False,"General"
"Medium","Chat",NULL,"Billing statement reprint",False,"2017-02-26 19:04:34",NULL,"Case.080","2017-02-16 16:00:25",False,"00001615","50046000001R8hfAAC",50,NULL,NULL,"Problem Resolved",False,"Account Support"
"Medium","Twitter",NULL,"Twitter Message: Help!  I'm having setup trouble.",False,"2017-02-26 19:04:34",NULL,"Case.081","2017-02-16 16:00:25",False,"00001630","50046000001R8hlAAC",51,NULL,NULL,"Problem Resolved",False,"Product Support"
"Medium","Email",NULL,"How do I set up auto-payment?",False,"2017-02-26 19:04:34",NULL,"Case.082","2017-02-16 16:00:25",False,"00001631","50046000001R8hYAAS",52,NULL,NULL,"Problem Resolved",False,"Account Support"
"Medium","Mobile Device",NULL,"Product is shutting down intermittently",False,"2017-02-26 19:04:34",NULL,"Case.083","2017-02-16 16:00:25",False,"00001651","50046000001R8hmAAC",53,NULL,NULL,"Problem Resolved",False,"General"
"Medium","Community",NULL,"What are your support hours?",False,"2017-02-26 19:04:34","20","Case.003","2017-02-16 16:00:25",True,"00001192","50046000001R8h6AAC",54,NULL,NULL,"Problem Resolved",False,"General"
"Low","Mobile Device",NULL,"Where do I send my check?",False,"2017-02-26 19:04:34","12","Case.058","2017-02-16 16:00:25",True,"00001194","50046000001R8i8AAC",55,NULL,NULL,"New problem",False,"Account Support"
"High","Mobile Device",NULL,"Billing address change",False,"2017-02-26 19:04:34","2","Case.057","2017-02-16 16:00:25",True,"00001195","50046000001R8i9AAC",56,NULL,NULL,"Problem Resolved",False,"Account Support"
"Critical","Community",NULL,"What does your service contract cover?",False,"2017-02-26 19:04:34","16","Case.056","2017-02-16 16:00:25",True,"00001196","50046000001R8gwAAC",57,NULL,NULL,"Problem Resolved",False,"General"
"Medium","Phone",NULL,"How is my password stored?",False,"2017-02-26 19:04:34","8","Case.009","2017-02-16 16:00:25",True,"00001197","50046000001R8iKAAS",58,NULL,NULL,"Problem Resolved",False,"General"
"Low","Website",NULL,"Question about taxes on my order.",False,"2017-02-26 19:04:34",NULL,"Case.055","2017-02-16 16:00:25",False,"00001199","50046000001R8gyAAC",59,NULL,NULL,NULL,False,"General"
"Medium","Twitter",NULL,"How much do I owe on my bill?",False,"2017-02-26 19:04:34","18","Case.004","2017-02-16 16:00:25",True,"00001200","50046000001R8hbAAC",60,NULL,NULL,"Mail delivery issue",False,"Account Support"
"Low","Twitter",NULL,"How do I set up auto-renewal?",False,"2017-02-26 19:04:34","19","Case.011","2017-02-16 16:00:25",True,"00001201","50046000001R8iAAAS",61,NULL,NULL,"Problem Resolved",False,"Account Support"
"Medium","Phone",NULL,"How do I sign up for your email newsletter?",False,"2017-02-26 19:04:34","6","Case.053","2017-02-16 16:00:25",True,"00001213","50046000001R8i2AAC",62,NULL,NULL,"Problem Resolved",False,"General"
"Critical","Email",NULL,"I have a question about my contract.",False,"2017-02-26 19:04:34","7","Case.052","2017-02-16 16:00:25",True,"00001217","50046000001R8h7AAC",63,NULL,NULL,"Problem Resolved",False,"Account Support"
"Low","Phone",NULL,"I have a product suggestion.",False,"2017-02-26 19:04:34",NULL,"Case.050","2017-02-16 16:00:25",False,"00001219","50046000001R8h9AAC",64,NULL,NULL,"Feature Request",False,"General"
"Low","Chat",NULL,"How do I obtain your annual report?",False,"2017-02-26 19:04:34","17","Case.049","2017-02-16 16:00:25",True,"00001242","50046000001R8h1AAC",65,NULL,NULL,"Problem Resolved",False,"General"
"Low","Twitter",NULL,"Need additional product information",False,"2017-02-26 19:04:34",NULL,"Case.048","2017-02-16 16:00:25",True,"00001247","50046000001R8gxAAC",66,NULL,NULL,NULL,False,"Product Support"
"High","Phone",NULL,"Customer lost product manual and needs replacement",False,"2017-02-26 19:04:34","19","Case.046","2017-02-16 16:00:25",True,"00001250","50046000001R8hBAAS",67,NULL,NULL,NULL,False,"Product Support"
"Medium","Email",NULL,"Product manual is missing",False,"2017-02-26 19:04:34","15","Case.045","2017-02-16 16:00:25",True,"00001252","50046000000mma5AAA",68,NULL,NULL,"Documentation Issue",False,"Product Support"
"High","Website",NULL,"Expediting my order?",False,"2017-02-26 19:04:34",NULL,"Case.044","2017-02-16 16:00:25",False,"00001257","50046000001R8hAAAS",69,NULL,NULL,NULL,False,"Account Support"
"High","Phone",NULL,"How do I change my password?",False,"2017-02-26 19:04:34","3","Case.043","2017-02-16 16:00:25",True,"00001296","50046000001R8h4AAC",70,NULL,NULL,NULL,False,"Account Support"
"High","Phone",NULL,"I need to pay my invoice.",False,"2017-02-26 19:04:34","7","Case.006","2017-02-16 16:00:25",True,"00001321","50046000001R8hOAAS",71,NULL,NULL,"Problem Resolved",False,"Account Support"
"Medium","Q&A",NULL,"Product upgrade suggestion",False,"2017-02-26 19:04:34","12","Case.014","2017-02-16 16:00:25",True,"00001437","50046000001R8hRAAS",72,NULL,NULL,"Feature Request",False,"General"
"Critical","Mobile Device",NULL,"How do I get started with your service?",False,"2017-02-26 19:04:34","1","Case.041","2017-02-16 16:00:25",True,"00001436","50046000001R8hdAAC",73,NULL,NULL,"Problem Resolved",False,"Product Support"
"Low","Community",NULL,"Shipping container appears damaged",False,"2017-05-12 10:18:50",NULL,"Case.047","2017-02-16 16:00:25",False,"00001248","50046000001R8hzAAC",74,NULL,NULL,NULL,False,"General"
"Medium","LinkedIn",NULL,"Initiating return process.",False,"2017-05-12 10:18:50",NULL,"Case.051","2017-02-16 16:00:25",False,"00001218","50046000001R8h8AAC",75,NULL,NULL,"Feature Request",False,"General"
"Medium","Other",NULL,"HELP DESK: MileSAAver / SAAver Award Availabili...",False,"2017-05-12 10:18:50",NULL,NULL,"2017-05-11 16:17:38",False,"00001826","50046000002PGKPAA4",76,NULL,NULL,"Problem Resolved",False,"General"
"Medium","Twitter",NULL,"Fcaebook channel not workin.",False,"2017-05-13 10:09:02",NULL,NULL,"2017-05-12 16:56:18",False,"00001834","50046000002PH0zAAG",77,NULL,NULL,"Problem Resolved",False,NULL
"High","Phone",NULL,"Question about my last billing statement",False,"2017-09-21 10:42:51",NULL,"Case.054","2017-02-16 16:00:25",False,"00001203","50046000001R8h0AAC",78,NULL,NULL,"New problem",False,"Account Support"
"High","Phone",NULL,"Product damaged, mishandled during shipping.",False,"2017-09-21 10:42:51",NULL,"Case.039","2017-02-16 16:00:25",False,"00001439","50046000000mma6AAA",79,NULL,NULL,NULL,False,"Account Support"
"Critical","Phone",NULL,"Need guidance getting started with my installation",False,"2017-09-21 10:42:51","1","Case.066","2017-02-16 16:00:25",False,"00001178","50046000001R8iCAAS",80,NULL,NULL,NULL,False,"Product Support"
"Medium","Phone",NULL,"@Chatter group case",False,"2017-09-21 10:42:51",NULL,NULL,"2017-09-20 17:59:18",False,"00001875","50046000004JYteAAG",81,NULL,NULL,"Problem Resolved",False,"Product Support"
"Low","Phone",NULL,"Do you sell replacement parts?",False,"2017-09-21 10:42:51",NULL,"Case.010","2017-02-16 16:00:25",False,"00001198","50046000001R8hCAAS",82,NULL,NULL,NULL,False,"Product Support"
"Medium","YouTube",NULL,"vahsir artapaham Mumbai metro is the only excep...",False,"2018-02-16 07:43:37",NULL,NULL,"2018-02-16 07:43:37",False,"00001933","50046000005iFXaAAM",83,NULL,NULL,"Problem Resolved",False,"General"
"Medium","Other",NULL,"He is out of jail now. No idea about refund.",False,"2018-03-28 07:59:39",NULL,NULL,"2018-03-28 07:59:38",False,"00001955","50046000006F3NTAA0",84,NULL,NULL,"Problem Resolved",False,"General"
"Medium","Phone",NULL,"Future Pay",False,"2018-03-30 00:02:15",NULL,NULL,"2017-09-22 08:44:45",False,"00001884","50046000004JgEPAA0",85,NULL,NULL,"Problem Resolved",False,"Product Support"
"Medium","Other",NULL,"Originally posted by zooni.blue Originally post...",False,"2018-09-19 11:04:10",NULL,NULL,"2018-09-19 11:04:10",False,"00002009","50046000007aCpXAAU",86,NULL,NULL,"Problem Resolved",False,"General"
"Medium","Other",NULL,"Nothing to say, you said it all. Awesome post a...",False,"2018-09-19 11:04:11",NULL,NULL,"2018-09-19 11:04:10",False,"00002010","50046000007aCpYAAU",87,NULL,NULL,"Problem Resolved",False,"General"
"Medium","Other",NULL,"omg is girl only made to cook at home? kitchen ...",False,"2018-09-19 11:04:11",NULL,NULL,"2018-09-19 11:04:11",False,"00002012","50046000007aCpaAAE",88,NULL,NULL,"Problem Resolved",False,"General"
"Medium","Other",NULL,"You don't have to praise your favorite just to ...",False,"2018-09-19 11:04:12",NULL,NULL,"2018-09-19 11:04:12",False,"00002013","50046000007aCpbAAE",89,NULL,NULL,"Problem Resolved",False,"General"
"Medium","Other",NULL,"I think the cvs think that u no like when someo...",False,"2018-09-19 11:04:13",NULL,NULL,"2018-09-19 11:04:13",False,"00002015","50046000007aCpfAAE",90,NULL,NULL,"Problem Resolved",False,"General"
"Medium","Other",NULL,"Good evening girls !!! Thanks Annie Hope you ar...",False,"2018-09-19 11:04:14",NULL,NULL,"2018-09-19 11:04:14",False,"00002017","50046000007aCphAAE",91,NULL,NULL,"Problem Resolved",False,"General"
"Medium","Other",NULL,"Originally posted by AyraaMalik Sleep is best t...",False,"2018-09-19 11:04:14",NULL,NULL,"2018-09-19 11:04:13",False,"00002016","50046000007aCpgAAE",92,NULL,NULL,"Problem Resolved",False,"General"
"Medium","Other",NULL,"Originally posted by rogerrocks Originally post...",False,"2018-09-19 11:04:15",NULL,NULL,"2018-09-19 11:04:15",False,"00002021","50046000007aCplAAE",93,NULL,NULL,"Problem Resolved",False,"General"
"Medium","Other",NULL,"Originally posted by hantel This is called dera...",False,"2018-09-19 11:04:15",NULL,NULL,"2018-09-19 11:04:15",False,"00002020","50046000007aCpkAAE",94,NULL,NULL,"Problem Resolved",False,"General"
"Medium","Other",NULL,"Originally posted by Henriette i love how kittu...",False,"2018-09-19 11:04:17",NULL,NULL,"2018-09-19 11:04:17",False,"00002023","50046000007aCppAAE",95,NULL,NULL,"Problem Resolved",False,"General"
"Medium","Other",NULL,"The episode was good. Lots of tension was creat...",False,"2018-09-19 11:04:17",NULL,NULL,"2018-09-19 11:04:17",False,"00002025","50046000007aCprAAE",96,NULL,NULL,"Problem Resolved",False,"General"
"Medium","Other",NULL,"Originally posted by Maryam2 she never wanted h...",False,"2018-09-19 11:04:17",NULL,NULL,"2018-09-19 11:04:17",False,"00002024","50046000007aCpqAAE",97,NULL,NULL,"Problem Resolved",False,"General"
"Medium","Other",NULL,"i love how kittu does one cute thing and has us...",False,"2018-09-19 11:04:21",NULL,NULL,"2018-09-19 11:04:21",False,"00002031","50046000007aCq0AAE",98,NULL,NULL,"Problem Resolved",False,"General"
"Medium","Other",NULL,"marny ki tied him with chains so he cant free h...",False,"2018-09-19 11:04:22",NULL,NULL,"2018-09-19 11:04:22",False,"00002034","50046000007aCq3AAE",99,NULL,NULL,"Problem Resolved",False,"General"
"Medium","Other",NULL,"Originally posted by Maryam2 Originally posted ...",False,"2018-09-19 11:04:22",NULL,NULL,"2018-09-19 11:04:22",False,"00002033","50046000007aCq2AAE",100,NULL,NULL,"Problem Resolved",False,"General"
"Medium","Other",NULL,"Originally posted by deeps07 Chalo guys..meet u...",False,"2018-09-19 11:04:22",NULL,NULL,"2018-09-19 11:04:22",False,"00002032","50046000007aCq1AAE",101,NULL,NULL,"Problem Resolved",False,"General"
"Medium","Other",NULL,"this crash,he lost everything,but his love and ...",False,"2018-09-19 11:04:23",NULL,NULL,"2018-09-19 11:04:23",False,"00002036","50046000007aCq8AAE",102,NULL,NULL,"Problem Resolved",False,"General"
"Medium","Other",NULL,"Originally posted by Maryam2 Chalo em off Subah...",False,"2018-09-19 11:04:24",NULL,NULL,"2018-09-19 11:04:24",False,"00002038","50046000007aCqEAAU",103,NULL,NULL,"Problem Resolved",False,"General"
"Medium","Other",NULL,"Hahaha u seem new to forum welcome...even new m...",False,"2018-09-19 11:04:25",NULL,NULL,"2018-09-19 11:04:25",False,"00002041","50046000007aCqHAAU",104,NULL,NULL,"Problem Resolved",False,"General"
"Medium","Other",NULL,"Congratulations for the new AT, 50 is near my g...",False,"2018-09-19 11:04:25",NULL,NULL,"2018-09-19 11:04:24",False,"00002039","50046000007aCqFAAU",105,NULL,NULL,"Problem Resolved",False,"General"
"Medium","Other",NULL,"Originally posted by hantel This is called dera...",False,"2018-09-19 11:04:26",NULL,NULL,"2018-09-19 11:04:26",False,"00002043","50046000007aCqJAAU",106,NULL,NULL,"Problem Resolved",False,"General"
"Medium","Other",NULL,"Originally posted by Mascarpone No one called a...",False,"2018-09-19 11:04:26",NULL,NULL,"2018-09-19 11:04:26",False,"00002042","50046000007aCqIAAU",107,NULL,NULL,"Problem Resolved",False,"General"
"Medium","Other",NULL,"Nandini will suffer bcs of her mistakes...it's ...",False,"2018-09-19 11:05:14",NULL,NULL,"2018-09-19 11:05:14",False,"00002056","50046000007aCqyAAE",108,NULL,NULL,"Problem Resolved",False,"General"
"Medium","Other",NULL,"Originally posted by mango_pudding1 Originally ...",False,"2018-09-19 11:05:14",NULL,NULL,"2018-09-19 11:05:14",False,"00002058","50046000007aCr0AAE",109,NULL,NULL,"Problem Resolved",False,"General"
"Medium","Other",NULL,"Originally posted by VARUNI2014 He did not love...",False,"2018-09-19 11:05:14",NULL,NULL,"2018-09-19 11:05:13",False,"00002055","50046000007aCqxAAE",110,NULL,NULL,"Problem Resolved",False,"General"
"Medium","Other",NULL,"! ! ! ! ! This forum is actually reaching some ...",False,"2018-09-19 11:05:14",NULL,NULL,"2018-09-19 11:05:14",False,"00002057","50046000007aCqzAAE",111,NULL,NULL,"Problem Resolved",False,"General"
"Medium","Other",NULL,"Originally posted by sunitas123 But really the ...",False,"2018-09-19 11:05:16",NULL,NULL,"2018-09-19 11:05:16",False,"00002061","50046000007aCr3AAE",112,NULL,NULL,"Problem Resolved",False,"General"
"Medium","Other",NULL,"I agree with the most. But I think problem is i...",False,"2018-09-19 11:05:17",NULL,NULL,"2018-09-19 11:05:17",False,"00002063","50046000007aCr5AAE",113,NULL,NULL,"Problem Resolved",False,"General"
"Medium","Other",NULL,"able to afford that chair . The cvs can stop sh...",False,"2018-09-19 11:05:17",NULL,NULL,"2018-09-19 11:05:16",False,"00002062","50046000007aCr4AAE",114,NULL,NULL,"Problem Resolved",False,"General"
"Medium","Other",NULL,"are furious & making posts aft posts venting ou...",False,"2018-09-19 11:05:26",NULL,NULL,"2018-09-19 11:05:26",False,"00002068","50046000007aCrHAAU",115,NULL,NULL,"Problem Resolved",False,"General"
"Medium","Other",NULL,"But really the comedy scene which I liked was w...",False,"2018-09-19 11:05:26",NULL,NULL,"2018-09-19 11:05:26",False,"00002067","50046000007aCrGAAU",116,NULL,NULL,"Problem Resolved",False,"General"
"Medium","Other",NULL,"Originally posted by Rithu0203 Originally poste...",False,"2018-09-19 11:05:27",NULL,NULL,"2018-09-19 11:05:27",False,"00002070","50046000007aCrJAAU",117,NULL,NULL,"Problem Resolved",False,"General"
"Medium","Other",NULL,"language has a lot of it! Anyway back to the ma...",False,"2018-09-19 11:05:27",NULL,NULL,"2018-09-19 11:05:26",False,"00002069","50046000007aCrIAAU",118,NULL,NULL,"Problem Resolved",False,"General"
"Medium","Other",NULL,"able to afford that chair . The cvs can stop sh...",False,"2018-09-19 11:05:28",NULL,NULL,"2018-09-19 11:05:28",False,"00002072","50046000007aCrQAAU",119,NULL,NULL,"Problem Resolved",False,"General"
"Medium","Other",NULL,"Your post is very good. Had a good laugh",False,"2018-09-19 11:05:29",NULL,NULL,"2018-09-19 11:05:29",False,"00002073","50046000007aCrRAAU",120,NULL,NULL,"Problem Resolved",False,"General"
"Medium","Other",NULL,"Originally posted by Snow_Angel Nandini will su...",False,"2018-09-19 11:05:29",NULL,NULL,"2018-09-19 11:05:29",False,"00002075","50046000007aCrTAAU",121,NULL,NULL,"Problem Resolved",False,"General"
"Medium","Other",NULL,"Originally posted by Snow_Angel Originally post...",False,"2018-09-19 11:05:29",NULL,NULL,"2018-09-19 11:05:29",False,"00002074","50046000007aCrSAAU",122,NULL,NULL,"Problem Resolved",False,"General"
"Medium","Other",NULL,"Originally posted by Angels11 Ok since people a...",False,"2018-09-19 11:05:30",NULL,NULL,"2018-09-19 11:05:29",False,"00002076","50046000007aCrUAAU",123,NULL,NULL,"Problem Resolved",False,"General"
"Medium","Other",NULL,"yesterday's epi) doesn't make them horrible hum...",False,"2018-09-19 11:05:30",NULL,NULL,"2018-09-19 11:05:30",False,"00002077","50046000007aCrVAAU",124,NULL,NULL,"Problem Resolved",False,"General"
"Medium","Other",NULL,"Originally posted by bscorp13 Lovely ishra scen...",False,"2018-09-19 11:05:33",NULL,NULL,"2018-09-19 11:05:33",False,"00002079","50046000007aCraAAE",125,NULL,NULL,"Problem Resolved",False,"General"
"Medium","Other",NULL,"Lovely ishra scene again. With all the humour a...",False,"2018-09-19 11:05:34",NULL,NULL,"2018-09-19 11:05:34",False,"00002081","50046000007aCrcAAE",126,NULL,NULL,"Problem Resolved",False,"General"
